"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"143031";"Auto";"Ford";"Transit";"2,2 Diesel 63kW !! kein Radio !!";"WF0XXXBDFX8R74238";"F-R 8018";"";"63";"Diesel";"Langzeitmiete";"60 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"146501";"Auto";"MCC";"E-Smart";"E-Smart 30 kW";"WME4513911K386156";"B-SB 4460";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147314";"Auto";"Ford";"Focus";"1,6 Diesel 80kW NAVI";"WF0SXXGCDSAA82712";"F-R 8794";"";"80";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147382";"Auto";"Opel";"Astra";"1,7 Diesel 81kW NAVI";"W0L0AHL35B2057645";"F-R 8829";"";"81";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147392";"Auto";"MCC";"E-Smart";"E-Smart 30 kW";"WME4513911K448772";"HH-EM 3019";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147388";"Auto";"MCC";"E-Smart";"E-Smart 30 kW";"WME4513911K451623";"HH-EM 3017";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147983";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI ";"WF0JXXGAJJBD83978";"F-R 8719";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147310";"Auto";"Ford";"Focus";"1,6 Diesel 80kW NAVI";"WF0SXXGCDSAA82693";"F-R 8758";"";"80";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"146503";"Auto";"MCC";"E-Smart";"E-Smart 30 kW";"WME4513911K385672";"B-SB 4463";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147393";"Auto";"MCC";"E-Smart";"E-Smart 30 kW";"WME4513911K448700";"HH-EM 3020";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147986";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0JXXGAJJBD83981";"F-R 8667";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147442";"Auto";"Opel";"Astra";"1.7 Diesel 81kW NAVI";"W0L0AHL35B2058916";"F-R 8976";"";"81";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147390";"Auto";"MCC";"E-Smart";"E-Smart 30 KW";"WME4513911K451348";"HH-EM 3016";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"146502";"Auto";"MCC";"E-Smart";"E-Smart 30 kW ";"WME4513911K385903";"B-SB 4464";"";"30";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147120";"Auto";"Citroën";"C-Zero";"ELEKTRO 35kW Automatik 4-Sitzer";"VF71NZKZZBU900201";"F-R 8006";"";"35";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147987";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0JXXGAJJBD83982";"F-R 8987";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147945";"Auto";"Ford";"Mondeo";"2,0 Diesel 85KW NAVI";"WF0GXXGBBGBC48366";"F-R 8990";"";"85";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147447";"Auto";"Opel";"Astra";"1,7 Diesel 81kW NAVI";"W0L0AHL35B2059009";"F-R 8840";"";"81";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147954";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW";"WF0JXXGAJJBD83966";"F-R 8081";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"148005";"Auto";"Mercedes";"Vito";"116 Diesel 120kW NAVI 9-Sitzer ! Ausbau der Sitze nicht erwünscht !";"WDF63970313649798";"F-R 8003";"";"120";"Diesel";"Langzeitmiete";"75 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"147993";"Auto";"Ford";"Mondeo";"2,0 Diesel 85kW NAVI";"WF0GXXGBBGBC48384";"F-R 8604";"";"85";"Diesel";"Langzeitmiete";"55 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"146243";"Auto";"Peugeot";"iOn";"ELEKTRO 35kW NAVI Automatik 4-Sitzer";"VF31NZKZZBU802938";"F-DB 602";"116160";"35";"Strom";"Langzeitmiete";"";"Invers BCSA 2006 GPRS";"Flinkster (Endkd.)";"DB Fuhrpark"
