Date,Public_Holidays
01-01-2018,New Year's Day
30-03-2018,Good Friday
02-04-2018,Easter Monday
01-05-2018,Labour Day
10-05-2018,Ascension Day
21-05-2018,Whit Monday
03-10-2018,German Unity Day
25-12-2018,Christmas Day
01-01-2017,New Year's Day
14-04-2017,Good Friday
17-04-2017,Easter Monday
01-05-2017,Labour Day
25-05-2017,Ascension Day
05-06-2017,Whit Monday
03-10-2017,German Unity Day
25-12-2017,Christmas Day
01-01-2016,New Year's Day
25-03-2016,Good Friday
28-03-2016,Easter Monday
01-05-2016,Labour Day
05-05-2016,Ascension Day
16-05-2016,Whit Monday
03-10-2016,German Unity Day
25-12-2016,Christmas Day
01-01-2015,New Year's Day
03-04-2015,Good Friday
08-04-2015,Easter Monday
01-05-2015,Labour Day
14-05-2015,Ascension Day
25-05-2015,Whit Monday
03-10-2015,German Unity Day
25-12-2015,Christmas Day
01-01-2014,New Year's Day
18-04-2014,Good Friday
21-04-2014,Easter Monday
01-05-2014,Labour Day
29-05-2014,Ascension Day
09-06-2014,Whit Monday
03-10-2014,German Unity Day
25-12-2014,Christmas Day
01-01-2013,New Year's Day
29-03-2013,Good Friday
01-04-2013,Easter Monday
01-05-2013,Labour Day
09-05-2013,Ascension Day
20-05-2013,Whit Monday
03-10-2013,German Unity Day
25-12-2013,Christmas Day
26-12-2013,St.Stephens Day
