"BerlinSchoolHolidays
",HamburgSchoolHolidays,Baden-Württemberg,Bayern,Brandenburg,Bremen,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2013-12-23,2013-12-19,2013-12-23,2013-12-23,2013-12-23,2013-12-23,2013-12-23,23-12-2013,23-12-2013,23-12-2013,23-12-2013,20-12-2013,21-12-2013,21-12-2013,21-12-2013,21-12-2013
2013-12-24,2013-12-20,2013-12-24,2013-12-24,2013-12-24,2013-12-24,2013-12-24,24-12-2013,24-12-2013,24-12-2013,24-12-2013,21-12-2013,22-12-2013,22-12-2013,22-12-2013,22-12-2013
2013-12-25,2013-12-21,2013-12-25,2013-12-25,2013-12-25,2013-12-25,2013-12-25,25-12-2013,25-12-2013,25-12-2013,25-12-2013,22-12-2013,23-12-2013,23-12-2013,23-12-2013,23-12-2013
2013-12-26,2013-12-22,2013-12-26,2013-12-26,2013-12-26,2013-12-26,2013-12-26,26-12-2013,26-12-2013,26-12-2013,26-12-2013,23-12-2013,24-12-2013,24-12-2013,24-12-2013,24-12-2013
2013-12-27,2013-12-23,2013-12-27,2013-12-27,2013-12-27,2013-12-27,2013-12-27,27-12-2013,27-12-2013,27-12-2013,27-12-2013,24-12-2013,25-12-2013,25-12-2013,25-12-2013,25-12-2013
2013-12-28,2013-12-24,2013-12-28,2013-12-28,2013-12-28,2013-12-28,2013-12-28,28-12-2013,28-12-2013,28-12-2013,28-12-2013,25-12-2013,26-12-2013,26-12-2013,26-12-2013,26-12-2013
2013-12-29,2013-12-25,2013-12-29,2013-12-29,2013-12-29,2013-12-29,2013-12-29,29-12-2013,29-12-2013,29-12-2013,29-12-2013,26-12-2013,27-12-2013,27-12-2013,27-12-2013,27-12-2013
2013-12-30,2013-12-26,2013-12-30,2013-12-30,2013-12-30,2013-12-30,2013-12-30,30-12-2013,30-12-2013,30-12-2013,30-12-2013,27-12-2013,28-12-2013,28-12-2013,28-12-2013,28-12-2013
2013-12-31,2013-12-27,2013-12-31,2013-12-31,2013-12-31,2013-12-31,2013-12-31,31-12-2013,31-12-2013,31-12-2013,31-12-2013,28-12-2013,29-12-2013,29-12-2013,29-12-2013,29-12-2013
2014-01-01,2013-12-28,2014-01-01,2014-01-01,2014-01-01,2014-01-01,2014-01-01,01-01-2014,01-01-2014,01-01-2014,01-01-2014,29-12-2013,30-12-2013,30-12-2013,30-12-2013,30-12-2013
2014-01-02,2013-12-29,2014-01-02,2014-01-02,2014-01-02,2014-01-02,2014-01-02,02-01-2014,02-01-2014,02-01-2014,02-01-2014,30-12-2013,31-12-2013,31-12-2013,31-12-2013,31-12-2013
2014-01-03,2013-12-30,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,03-01-2014,03-01-2014,03-01-2014,03-01-2014,31-12-2013,01-01-2014,01-01-2014,01-01-2014,01-01-2014
2014-02-03,2013-12-31,2014-01-04,2014-01-04,2014-02-03,2014-01-30,2014-01-04,03-02-2014,30-01-2014,04-01-2014,04-01-2014,01-01-2014,02-01-2014,02-01-2014,02-01-2014,02-01-2014
2014-02-04,2014-01-01,2014-01-06,2014-01-06,2014-02-04,2014-01-31,2014-01-05,04-02-2014,31-01-2014,05-01-2014,05-01-2014,02-01-2014,03-01-2014,03-01-2014,03-01-2014,03-01-2014
2014-02-05,2014-01-02,2014-04-14,2014-03-03,2014-02-05,2014-04-03,2014-01-06,05-02-2014,03-04-2014,06-01-2014,06-01-2014,03-01-2014,17-02-2014,06-01-2014,04-01-2014,04-01-2014
2014-02-06,2014-01-03,2014-04-15,2014-03-04,2014-02-06,2014-04-04,2014-01-07,06-02-2014,04-04-2014,07-01-2014,07-01-2014,04-01-2014,18-02-2014,01-02-2014,05-01-2014,17-02-2014
2014-02-07,2014-01-31,2014-04-16,2014-03-05,2014-02-07,2014-04-05,2014-01-08,07-02-2014,05-04-2014,14-04-2014,11-04-2014,03-03-2014,19-02-2014,02-02-2014,06-01-2014,18-02-2014
2014-02-08,2014-03-03,2014-04-17,2014-03-06,2014-02-08,2014-04-06,2014-01-09,08-02-2014,06-04-2014,15-04-2014,12-04-2014,04-03-2014,20-02-2014,03-02-2014,16-04-2014,19-02-2014
2014-04-14,2014-03-04,2014-04-18,2014-03-07,2014-04-16,2014-04-07,2014-01-10,09-02-2014,07-04-2014,16-04-2014,13-04-2014,05-03-2014,21-02-2014,04-02-2014,17-04-2014,20-02-2014
2014-04-15,2014-03-05,2014-04-19,2014-04-14,2014-04-17,2014-04-08,2014-01-11,10-02-2014,08-04-2014,17-04-2014,14-04-2014,06-03-2014,22-02-2014,05-02-2014,18-04-2014,21-02-2014
2014-04-16,2014-03-06,2014-04-20,2014-04-15,2014-04-18,2014-04-09,2014-04-14,11-02-2014,09-04-2014,18-04-2014,15-04-2014,07-03-2014,23-02-2014,06-02-2014,19-04-2014,22-02-2014
2014-04-17,2014-03-07,2014-04-21,2014-04-16,2014-04-19,2014-04-10,2014-04-15,12-02-2014,10-04-2014,19-04-2014,16-04-2014,08-03-2014,24-02-2014,07-02-2014,20-04-2014,18-04-2014
2014-04-18,2014-03-08,2014-04-22,2014-04-17,2014-04-20,2014-04-11,2014-04-16,13-02-2014,11-04-2014,20-04-2014,17-04-2014,14-04-2014,25-02-2014,08-02-2014,21-04-2014,19-04-2014
2014-04-19,2014-03-09,2014-04-23,2014-04-18,2014-04-21,2014-04-12,2014-04-17,14-02-2014,12-04-2014,21-04-2014,18-04-2014,15-04-2014,26-02-2014,09-02-2014,22-04-2014,20-04-2014
2014-04-20,2014-03-10,2014-04-24,2014-04-19,2014-04-22,2014-04-13,2014-04-18,15-02-2014,13-04-2014,22-04-2014,19-04-2014,16-04-2014,27-02-2014,10-02-2014,23-04-2014,21-04-2014
2014-04-21,2014-03-11,2014-04-25,2014-04-20,2014-04-23,2014-04-14,2014-04-19,14-04-2014,14-04-2014,23-04-2014,20-04-2014,17-04-2014,28-02-2014,11-02-2014,24-04-2014,22-04-2014
2014-04-22,2014-03-12,2014-05-01,2014-04-21,2014-04-24,2014-04-15,2014-04-20,15-04-2014,15-04-2014,24-04-2014,21-04-2014,18-04-2014,01-03-2014,12-02-2014,25-04-2014,23-04-2014
2014-04-23,2014-03-13,2014-05-29,2014-04-22,2014-04-25,2014-04-16,2014-04-21,16-04-2014,16-04-2014,25-04-2014,22-04-2014,19-04-2014,18-04-2014,14-04-2014,26-04-2014,24-04-2014
2014-04-24,2014-03-14,2014-06-09,2014-04-23,2014-04-26,2014-04-17,2014-04-22,17-04-2014,17-04-2014,26-04-2014,23-04-2014,20-04-2014,19-04-2014,15-04-2014,27-04-2014,25-04-2014
2014-04-25,2014-04-18,2014-06-10,2014-04-24,2014-05-01,2014-04-18,2014-04-23,18-04-2014,18-04-2014,27-04-2014,24-04-2014,21-04-2014,20-04-2014,16-04-2014,28-04-2014,26-04-2014
2014-04-26,2014-04-21,2014-06-11,2014-04-25,2014-05-02,2014-04-19,2014-04-24,19-04-2014,19-04-2014,01-05-2014,25-04-2014,22-04-2014,21-04-2014,17-04-2014,29-04-2014,27-04-2014
2014-05-02,2014-04-28,2014-06-12,2014-04-26,2014-05-29,2014-04-20,2014-04-25,20-04-2014,20-04-2014,29-05-2014,01-05-2014,23-04-2014,22-04-2014,18-04-2014,30-04-2014,28-04-2014
2014-05-29,2014-04-29,2014-06-13,2014-05-01,2014-05-30,2014-04-21,2014-04-26,21-04-2014,21-04-2014,09-06-2014,29-05-2014,24-04-2014,23-04-2014,21-04-2014,01-05-2014,29-04-2014
2014-05-30,2014-04-30,2014-06-14,2014-05-29,2014-06-08,2014-04-22,2014-05-01,22-04-2014,22-04-2014,10-06-2014,09-06-2014,25-04-2014,24-04-2014,01-05-2014,02-05-2014,30-04-2014
2014-06-09,2014-05-01,2014-06-15,2014-06-09,2014-06-09,2014-05-01,2014-05-29,23-04-2014,01-05-2014,19-06-2014,19-06-2014,26-04-2014,25-04-2014,29-05-2014,29-05-2014,01-05-2014
2014-07-09,2014-05-02,2014-06-16,2014-06-10,2014-07-10,2014-05-02,2014-06-09,01-05-2014,02-05-2014,07-07-2014,28-07-2014,01-05-2014,26-04-2014,30-05-2014,30-05-2014,02-05-2014
